Nama Produk,Kategori,Merk,Stok,Satuan,Harga Beli (HPP),Harga Jual,SKU
Butyl isothiocyanate @5gram,PADATAN PRO ANALIS,253790-5G,1,Gram,545232,736800,
"Allyl isothiocyanate contains BHT astabilizer, 95% @5gram",PADATAN PRO ANALIS,377430-5G,1,Gram,571872,772800,
Phenyl ethyl isothiocyanate @5gram,PADATAN PRO ANALIS,253731-5G,1,Gram,1546896,2090400,
Butyl benzene @25ml,PADATAN PRO ANALIS,B90203-25ML,1,ml,858696,1160400,
NaOH 45% 1 L,CAIRAN TEKNIS,,10,1 L,1,45000,
HCL 3 M 1 L,,,96,Botol,7000,70000,
Disposable Syringe (Spuit) OneMed 1 ml @100 pcs,ALAT,,1,Box,62000,80000,
Disposable Syringe (Spuit) OneMed 5 ml @100 pcs,ALAT,,2,Box,72000,90000,
H2O2 PA / Hydrogen Peroxide Soln 30% 100 ml,CAIRAN PRO ANALIS,,16,Botol,57720,112000,
Pipet Ukur HBG 2 ml,ALAT,,3,Pcs,1,35000,
Sedgewick Rafter Counting Chamber SR,ALAT,,13,Pcs,350000,500000,
Methanol PA 50 ml,CAIRAN PRO ANALIS,A-1056-0050,4,Botol,3247,13000,
Cover Glass 18x18 mm HERMA,ALAT,R.52A,813,Pack,13653,18000,
Cover Glass 20x20mm HERMA,ALAT,R.52,13,Pack,15207,20000,
Cover Glass 22x22mm RRT/HERMA,ALAT,R.52B,9,Pack,17205,30000,
Cover Glass 24x24mm RRT,ALAT,R.52C,10,Pcs,19980,30000,
Petri Dish NORMAX 100x15 mm,ALAT,P.50585-45,49,Pcs,19980,34000,
CEFOXITIN FOX30 @pack,OXOID,CT0119B,2,pack,426071,527500,
ERYTIIROMYCIN E15 @pack,OXOID,CT0020B,2,Pack,433510,525500,
CEFTAZIDIME CAZ30 @pack,OXOID,CT0412B,1,Pack,382284,526000,
CEFTRIAXONE CRO30 @pack,OXOID,CT0417B,1,Pack,385215,530000,
VANCOMYCIN VA30 @pack,OXOID,CT0058B,1,Pack,385392,530000,
Sodium Hypochloride / Chlorine 12% NaOCl Teknis 500 ml,CAIRAN TEKNIS,,49,Botol,4000,15000,
MALTO DEXTRIN 100 Gram,PADATAN TEKNIS,,90,100 gr,1,5000,
ETT non King King Cuffed 2.5,ALAT,,2,Pcs,137960,207000,
ETT non King King Cuffed 3,ALAT,,2,pcs,137960,207000,
ETT non King King Cuffed 3.5,ALAT,,2,Pcs,137960,207000,
ETT non King King Cuffed 4,ALAT,,2,Pcs,137960,207000,
ETT non King King Cuffed 4.5,ALAT,,2,Pcs,137960,207000,
ETT non King King Cuffed 5,ALAT,,2,Pcs,137960,207000,
ETT non King King Cuffed 5.5,ALAT,,2,Pcs,137960,207000,
ETT non King King Cuffed 6,ALAT,,2,Pcs,137960,207000,
ETT non King King Cuffed 7.5,ALAT,,2,Pcs,137960,207000,
ETT non King King Cuffed 8,ALAT,,2,Pcs,137960,207000,
Sumbat Karet Diameter 4cm,ALAT,,2,Pcs,1,8000,
ETT non King King Cuffed 6.5,ALAT,,2,Pcs,137960,207000,
Glass Screw Cap Vial VI w/ Band pre-slt septa,GLASSWARE,186000307C,1,Pack,1811520,2445552,
Acquity UPLC BEG C18 1.7 um 2.1x100 mm,ALAT,186002352,1,Pcs,23549760,29437200,
Tartaric Acid / Asam Tartrat Merck,PADATAN PRO ANALIS,,645,Gram,3888,5500,
Magnesium Sulfate Anhydrous 500 gr FISHER CHEMICAL,PADATAN PRO ANALIS,M65,2,Botol,1998000,2497500,
Acetonitrile Optima LC/MS Grade 4 ltr FISHER CHEMICAL,CAIRAN PRO ANALIS,A955-4,3,Botol,4945050,5934060,
Methanol Optima LC/MS Grade 4 ltr FISHER CHEMICAL,CAIRAN PRO ANALIS,A456-4,2,Botol,1970250,2462813,
"HCL 0,5 M/N @100ml",LARUTAN REAGENT,,97,100ml,4000,18000,
HCL 1 N Teknis 100ml,LARUTAN REAGENT,,95,Botol,1,15000,
"HCL 0,1N @500ml",LARUTAN REAGENT,,100,500ml,1,70000,
"HCL 0,5N  500ml",LARUTAN REAGENT,,99,Botol,6000,25000,
HCL 1N @500ml,LARUTAN REAGENT,,100,500ml,1,70000,
Kaporit Powder 100 gram,PADATAN TEKNIS,,4,Pack,4000,8000,
Tabung Centrifuge 10 ml @1pack,ALAT,,1,Pack,175400,249500,
TIMBANGAN DIGITAL RUMAH SAKIT SOJIYKO @200kg,ALAT,,1,unit,1446200,2170000,
"AMMONIA 0,1 M /N",MBAK MIRZA,,98,Liter,12000,35000,
Agar-agar Teknis 100 Gram,teknis,A.1.2,1,Pack,25975,68500,
Methanol Rapid HYDRANAL 1 lITER,CAIRAN PRO ANALIS,37817,1,Botol,1578200,2023000,
Asam Format / Formic Acid 100 ML,,,95,Botol,1500,12000,
Gunting Dahan,ALAT,,5,Pcs,70000,105000,
Timah Batang,ALAT,,20,Pcs,26400,40000,
Diphenylamine 99% / C12H11N / (C6H5)2NH PA,PADATAN PRO ANALIS,,176,Gram,3500,16000,
Formalin 1% @1Liter,CAIRAN TEKNIS,,30,Liter,10000,40000,
VASELIN PUTIH @500 GRAM,PADATAN TEKNIS,,6,Pack,25000,40000,
Fructose PA Eceran,PADATAN PRO ANALIS,,4,Gram,1500,3000,
MANNITOL SALT AGAR (MSA) @50gram,PADATAN PRO ANALIS,M-118,9,50 gr,1,444000,
SODIUM CARBONATE / Na2CO3 Teknis 100 gram,PADATAN TEKNIS,,7,Pack,3500,10000,
Alumunium Nitrate / Al(NO3)3 PA 25 gram,,,1,Pack,1,250000,
"Larutan Indikator Thymolphthalein 0,1% @100ml Arkitos",CAIRAN PRO ANALIS,,1,Botol,150000,240000,
Propilen Glikol PG Food Grade 500 ml,,,8,Botol,23000,45000,
Aniline/ Aminobenzene Pro Analisa @13gram,PADATAN PRO ANALIS,,1,Gram,162400,199500,
Buffer Tris HCL PH8 @100ml,CAIRAN PRO ANALIS,,99,100ml,1,120000,
PYRIDINE EX FULLTIME @50ml,CAIRAN PRO ANALIS,,1,ml,120500,197500,
Trichloroacetic Acid Merck 100 gram,,1.008.070.100,1,Pack,1298922,1850000,
GELATINE Teknis @100gram,PADATAN TEKNIS,,2,100 gr,1,64000,
"PHENETHYL ISOTHIOCYANATE,99% @pack",PADATAN PRO ANALIS,253731-5G,1,Pack,1546896,1934000,
12x32 Gls Srw Cap VI w/Bnd pre-slt septa,,186000307C,1,Pack,1811520,2131200,
Acquity UPLC BEH C18 1.7um 2.1x100 Column,,186002352,1,Pcs,23549760,27705600,
Aniline / Aminobenzene Smartlab Eceran,,A-1008-1,7,ml,"987,9",3000,
Turpentine Oil MURNI 1 liter,CAIRAN TEKNIS,,1,Liter,65500,116000,
Glukosa 250 Gram,,,3,Pack,8750,24000,
Ethyl Acetate PA 500 ml,CAIRAN PRO ANALIS,,8,Botol,134000,223000,
HCL 4N 100 ml,,,99,Botol,1,12000,
PBS (Phosphate Buffer Saline) 500ml,CAIRAN TEKNIS,,2,Botol,31000,59000,
Reagen Arsenomolibdat Eceran,,,161,ml,1906,3500,
Castor Oil 100 ml,CAIRAN TEKNIS,,4,Botol,6742,18000,
Seliwanoff @50ml,CAIRAN PRO ANALIS,,1,ml,135800,204000,
"Ninhidrin 0,1% @100ml",,,1,ml,37800,57000,
FeCl3 1% PA,CAIRAN REAGEN,,9,ml,78,800,
NaOH 10% 500 ML,,,18,Botol,10000,22000,
Labu Leher 2 PYREX 500 ml,GLASSWARE,,1,Pcs,115000,235000,
Minyak Gondopuro / Methyl Salicylate 1 KG MURNI,CAIRAN TEKNIS,,1,Kg,89100,120000,
acetic A. PA _A. Anhidride AR @1Liter,CAIRAN PRO ANALIS,,1,Liter,1620700,2431500,
SUCCUS POWDER @500gram,,,1,Gram,328500,493000,
Botol Plastik Putih 50 gr,BOTOL,,31,Pcs,1500,2400,
oleum cinnamomi cassia oil @250ml,,,1,250ml,202100,303500,
di-ammonium oxalate PA C2H8N2O4.H2O @500gram,PADATAN PRO ANALIS,,1,Gram,395000,592500,
Besi (III) Nitrat / Iron (III) nitrat / Fe(NO3)3.9H2O PA Eceran,PADATAN PRO ANALIS,,387,Gram,800,5000,
MERCK Acetylacetone @100ml,CAIRAN PRO ANALIS,1.096.000.100,1,100ml,828500,1243000,
Kalium Nitrit / Kalium Nitrite KNO2 PA Eceran,PADATAN PRO ANALIS,,14,Gram,13484,20500,
Magnesium Nitrate Hexahydrate/ MgNO3.6H2O,PADATAN PRO ANALIS,,5,Gram,5000,9000,
Calsium Nitrat PA @gram,PADATAN PRO ANALIS,,5,Gram,5484,8500,
Acetic Acid Glacial AR SL 500 ml,,A-1001-0500,9,Botol,84693,170000,
WATER ONE @20LTR,CAIRAN TEKNIS,,7,Jerigen,"113053,5",151000,
carbon disulfide merck ecer @100ml,PADATAN PRO ANALIS,,1,100ml,298300,447500,
ZINC METAL POWDER PA @25gram,PADATAN PRO ANALIS,,48,25 gram,68000,77500,
Barium Carbonat / BaCO3 @1KG,PADATAN TEKNIS,,1,Kg,75500,113500,
Sodium Acetate Anhydrous PA Merck,PADATAN PRO ANALIS,1.062.681.000,2,Kg,2082360,2603000,
Silver Chloride AgCl @Ecer,PADATAN PRO ANALIS,,4,Gram,111944,212000,
Strontium nitrat Sr(NO3)2 Eceran,PADATAN PRO ANALIS,,20,Gram,9844,15000,
manganese IV oxide/MnO2 @50gram,PADATAN PRO ANALIS,,1,50 gr,75500,113500,
Chloroform Smartlab 50 ml,,A-1022-0050,53,Botol,7531,25000,
"Himedia, Ninhydrin, 25g",PADATAN PRO ANALIS,GRM248-25G,1,25 gram,1154400,1660000,
NaOH 2 N 500 ml,,,7,Botol,1,25000,
2-THIOBARBITURIC ACID 25gram,PADATAN PRO ANALIS,T5500-25G,1,25 gram,1569540,1962000,
PHOSPHOMOLYBDIC ACID HYDRATE 25gram,PADATAN PRO ANALIS,221856-25G,1,25 gram,2394270,2993000,
Pinset Aktion Lurus Runcing,,,1,Pcs,1,28000,
Viscolam AT 100 P @25g,PADATAN PRO ANALIS,,1,25 gram,70000,92000,
VITAMIN E POWDER FOOD GRADE Tocopheryl Acetate @50gr,PADATAN TEKNIS,,1,50 gr,82900,141500,
KAPAS PEMBALUT NASACO 500gram,ALAT,,1,Pcs,35500,53500,
Tissue PASEO Smart Facial 250 sheet,ALAT,,48,Pcs,9750,15000,
CALCIUM OXIDE (CaO) Kapur Tohor 500 gram,,,5,Pack,1,100000,
Sodium Alginate FOOD GRADE @1Kg,PADATAN TEKNIS,,1,1 Kg,"497044,27",716500,
Nylon 25 mm 0.45 um Membrane Filter 200pcs,ALAT,,1,Pack,431600,647500,
PEG 6000 100 gram,,,8,Pack,9500,28500,
Dimetyl Sulfoxide / DMSO 50 ml,,DMSO,9,Botol,82000,180000,
Larutan FeSO4 30% PA 100 ml,,,1,Botol,60000,100000,
TWEEN 60 @50ml,CAIRAN PRO ANALIS,,1,50ml,155000,222000,
Colsancetine @250mg,OBAT-OBATAN,,1,strip,7200,10800,
pinset ujung bengkok Onemed 14cm,ALAT,,1,Pcs,22000,33000,
Plastik kiloan semut,PLASTIK,,1,pcs,8250,12500,
plastik kiloan apollo,PLASTIK,,1,pack,8334,12500,
Bubble Wrap 50 meter HITAM,PLASTIK,,1,Rol,160000,224000,
Objek Glass 7101,GLASSWARE,,1,Pcs,25000,37500,
Sepatula 30cm,GLASSWARE,,1,Pcs,13500,20500,
Test Tube. with Rim 16x150mm,ALAT,IWAKI-TEST16-150NP,10,Pcs,6400,11000,
Chloroform Smartlab 100 ml,CAIRAN PRO ANALIS,A-1022-0100,71,Botol,15061,45000,
HIGH SOLUTION,CAIRAN TEKNIS,SL 608,1,Liter,32500,49000,
Label Harga @pack,ALAT,,30,Pack,3500,5500,
Lap Kaebo DNC/GNA,ALAT,,1,Pcs,14000,21000,
Boric Acid / H3BO3 PA 100 Gram,PADATAN PRO ANALIS,26122020348,2,Pack,176000,230000,
IBUPROFEN POWDER @100gram,PADATAN TEKNIS,,1,100 gr,1,250000,
Aqua Regia @100ml,CAIRAN TEKNIS,,1,100ml,1,45000,
Test Tube. With Rim. OD 13xL 100(mm),ALAT,TEST13-100NP,1,Pcs,7493,11500,
VACULAB 3ML EDTA K3 @Ecer,ALAT,,180,Pcs,1155,1500,
APAR 3KG type powder,ALAT,,1,unit,350000,470000,
Sumbat Karet Diameter 1cm,,,49,Pcs,1,3000,
Sumbat Karet Diameter 2cm,,,49,Pcs,1,4000,
KERTAS LABEL NO 121,,,3,Pack,1,7000,
Anak Timbangan Kecil,ALAT,,1,Pack,80000,105000,
Sikat Kuku Kecil,ALAT,,5,Pcs,3050,5000,
Golden Glove Disposable Polyethylene Gloves @pack,LAINNYA,,8,Pack,1,13000,
Object Glass Ecer,,,78,Pcs,50,800,
M-SAFE Particulate Respirator N95 standart,ALAT,M-DMN95,1,Pack,1,35000,
Plat KLT MN.818133 25 Sheet size 20x20 cm,DISPOSABLE,MN.818133,1,Pack,1676100,2515000,
"POCKET SCALE MH-500 500G/0,01G",,,1,Pcs,40000,50000,
Kalium Hydrogen Sulfat / KHSO4 PA @gram,PADATAN PRO ANALIS,,480,Gram,2000,7000,
Lanolin Anhydrous / Minyak domba @500gram,PADATAN TEKNIS,,1,Gram,173100,260000,
Magnesium Oxide Oksida / MgO @1KG,PADATAN TEKNIS,,1,Kg,23743,37000,
CHAMPORA SINTETIK KRISTAL @500G,PADATAN PRO ANALIS,,1,500 gr,293050,440000,
Petro PP @03x12x24,PLASTIK,,1,Pack,7500,11500,
Plastik Petro PP 03x15x27,PLASTIK,,9,Pack,7500,11500,
Petro PP @03x18x35,PLASTIK,,10,Pack,7375,11500,
Millon 100 ml,LARUTAN REAGENT,,1,100ml,225746,341500,
Minyak Wijen @500ml,CAIRAN TEKNIS,,1,500ml,94000,141000,
oleum menthae piperitae minyak pepermint @500 ml,CAIRAN PRO ANALIS,,1,500 ml,239000,358500,
Chloral Hydrate / Cloral�Hidrat PA,PADATAN PRO ANALIS,,549,Gram,3345,7500,
"Plastik Petromax PP 0,03 x 30 x 48 5 kg",PLASTIK,,1,Pack,8000,15000,
Petro PP 03x23x38 @pack,PLASTIK,,1,Pack,9000,13500,
Petro PP 03x10x17 @pack,PLASTIK,,1,Pack,9000,13500,
EMULGIDE @1kg,PADATAN TEKNIS,,1,1 Kg,243200,365000,
HCL 1 Liter 32%,MBAK MIRZA,,8,Liter,1,20000,
"6,86 Set Buffer Powder PH Meter Solution - Hijau",PADATAN TEKNIS,,13,Pcs,1426,5500,
"9,86 Set Buffer Powder PH Meter Solution - Biru",PADATAN TEKNIS,,3,Pcs,2398,5500,
"4,00 Set Buffer Powder PH Meter Solution - Merah",PADATAN TEKNIS,,6,Pcs,2399,5500,
Rak Tabung Reaksi Stainless Steel 40 Holes,ALAT,,1,Pcs,58000,90000,
"Sulphuric Acid @2,5ltr 37%",CAIRAN PRO ANALIS,A-1092K,1,Botol,365000,546500,
"H2SO4 0,05N @50ml",CAIRAN TEKNIS,,1,50ml,1,20000,
ALBUMIN EGG @5gr PUDAK,PADATAN PRO ANALIS,,1,5 gr,110700,166500,
ComPro Pocket Transit Geological Compass,ALAT,,1,unit,310200,465500,
Rak pcr tube 0.2ml Dispolab 96 well - Hijau,ALAT,,1,pcs,53075,75000,
"Cuvettes Disposable 1,5 ml Serena",,,61,Pcs,1100,3500,
"Labu Evaporator 1000 ml NS 2,5/3,5",GLASSWARE,,1,Pcs,300000,445000,
Copper (II) Oxide @50gram,PADATAN PRO ANALIS,,1,50 gr,329150,494000,
Copper (II) Oxide @Ecer,PADATAN PRO ANALIS,,32,Gram,6600,8000,
Mega2560+Kabel,ALAT,,1,unit,211150,317000,
Nano 3.0 Type-C TypeC ATmega328P,ALAT,,1,unit,83650,125500,
Anenometer Alat Ukur Kecepatan Angin dan Suhu - Benetech,ALAT,,1,unit,133000,199500,
Ammonium Acetate PA @100gram,PADATAN PRO ANALIS,,1,100 gr,70000,210000,
Kabel jumper / pelangi female - female 10 Pcs,ALAT,,1,Pcs,7200,11000,
Kabel Jumper 20 Cm 10 Male Duphone,ALAT,,1,Pcs,7200,11000,
Kabel Jumper 20 Cm 10 Male breadbhoard,ALAT,,1,Pcs,7200,11000,
Project Board MB-102 830 Holes,ALAT,,1,Pcs,21200,32000,
Neraca / Timbangan MB2610 3 Tiga Lengan MB,ALAT,,1,unit,822933,1234500,
NaOH 2 N/M,LARUTAN REAGENT,,7,100 ml,3000,10000,
NaOH 2 N PA,,,9,100 ml,3000,20000,
Palu Geologi Pipih ESTWING E320BLC,ALAT,,1,unit,998000,1497000,
Pipet Pasteur 3ml @box isi 500,ALAT,,3,Box,130800,196500,
RedmiBook 15 11th Gen13-1115G4 8Gb 256Gb,ELEKTRONIK,NB/0013,1,unit,5099000,10230104,
Elenmeyer @125ml Pyrex,GLASSWARE,,4,Pcs,30000,45000,
Corong Kaca Pyrex 60mm,GLASSWARE,,2,Pcs,15000,20000,
"HCL 0,5 N/M 1L",,,7,Botol,7000,50000,
"Sikat Tabung Reaksi Kecil Dia.+/-25mm x (P.23-25cm), Lokal",ALAT,UL.009-5,12,Pcs,3000,4500,
"Sikat Buret (Dia.25 x L.b150mm) x Ls.610mm, Lokal",ALAT,UL.009-2,10,Pcs,6500,10000,
"Tabung Durham Dia.6mm x L.35mm (100bh/bks), Lokal",ALAT,GL.0026,1,Pcs,110000,165000,
"Preparat BOTANI, 30 Macam/set",ALAT,PB.0031.04,2,Set,252000,378000,
"Preparet ZOOLOGI, 40 Macam/set",ALAT,PB.0031.12,2,Set,336000,504000,
"Kisi Difraksi 9 x 16mm, 100, 300, 600 lines, Slide : 90x50mm",ALAT,PI.011.01,20,BH,156250,234500,
OXACILLIN OX5,OXOID,CT0040B,1,Pack,423110,550000,
CEFTAZIDIME CAZ30,OXOID,CT0412B,1,Pack,425110,551000,
"Cuvettes Disposable PS Macro 2,5ml",ALAT,G.B1021,2,Pack,122100,183500,
SODIUM SULFITE ANHYDROUS PA 100 gram,,,8,Pack,1,169000,
Mortar w/pestle 70ml OD:85mm H:40mm,ALAT,R.J-246,1,Pcs,43068,65000,
Pipet Tetes Panjang Lokal 20 cm,ALAT,L.5,2,Pack,85000,180000,
Pipet Tetes Pendek 10 cm Lokal,ALAT,L.10,2,Pack,45000,85000,
Rack + Box + Tip Blue Serena,ALAT,G.E1022,2,Pack,85692,129000,
Ammonia Teknis 500 ml,,,88,Botol,6000,35000,
GREEN TISUE KOTAK PANDA @ECER,LAINNYA,,1,Pcs,3250,5000,
Set Destilasi @500ml Pyrex,GLASSWARE,,3,Pcs,650000,975000,
Bohlam edison 4w bulat besar 12.5cm LED,ALAT,LAMPU,1,Pcs,57367,91500,
Penggaris Lipat @1 meter Plastic Folding Ruler,ALAT,,2,Pcs,59900,90000,
Pemanas Air Listrik Instan Water Heater ELTERRA @15L ET,ALAT,,2,unit,1312850,1969500,
Rak Kamar Mandi Toilet Organizer,ALAT,,1,unit,116800,175500,
IRON SULFATE / FeSO4 TEKNIS @100 gr,,,5,100 gr,3500,10000,
"Chloroform 99,8+%PA, @2,5Ltr ex Fisher Chemical",CAIRAN PRO ANALIS,C/4960/17,1,Botol,632700,855000,
Acetonitrile HPLC Grade @4Ltr ex Fisher Chemical,CAIRAN PRO ANALIS,A998-4,3,Botol,664890,898000,
Methanol HPLC Grade @4Ltr ex Fisher Chemical,CAIRAN PRO ANALIS,A452-4,2,Botol,290820,393000,
Aqualline Complete 5 for Karl Fischer Analysis @1Ltr ex Fisher Chemical,CAIRAN PRO ANALIS,K/2000/15,1,Botol,2238870,3022500,
Formic Acid Optima LC/MS @50ml LC/MS Grade ex Fisher Chemical,CAIRAN PRO ANALIS,A117-50,1,Botol,3058050,4128500,
"Syringe Filter PVDF dia@25mm 0,22um (100/pack) ex Microlab",ALAT,S25PVB022C,1,Pack,1110000,1498500,
"Dichlomethane for Analysis,stabilized with amylene @1Ltr/Btl ex Fisher Chemical",CAIRAN PRO ANALIS,D/1852/15,1,Botol,1015428,1371000,
"2-Propanol / Iso Propil / Isopropanol ex Fisher Chemical @2,5Ltr",CAIRAN PRO ANALIS,,1,Botol,843600,1139000,
Gas Helium UHP 10M3,Gas,,2,Botol,10780653,12398000,
Gas C2H2 HP MR,Gas,,1,Botol,1720500,1979000,
Oven UN 30 Memmert,ALAT,MT.23,1,unit,18733470,25500000,
Potassium / Kalium Oxalate PA @50gram K2C2O4,PADATAN PRO ANALIS,,1,50 gr,195200,287000,
Mordan @500ml,CAIRAN TEKNIS,,1,Botol,45300,68000,
Spatula Lab. Spatula Stainless steel. Besar. 21 cm. Germany,ALAT,,1,Pcs,133150,200000,
Minyak Adas Fennel 100% Murni @100ml,CAIRAN TEKNIS,,1,100ml,104425,157000,
Hand Tally Counter Stainless ROX,ALAT,ROX,1,unit,27500,41500,
Kulkas dua pintu besar,#NAME?,LG GNC422SGCL,1,unit,1,7992000,
Kulkas satu pintu 169 L,#NAME?,LG GNINV201SL,1,unit,1,3596400,
NH4OH PA @1Liter,#NAME?,,1,Liter,1,222000,
Preparat Tumbuhan,#NAME?,,1,Buah,1,419580,
Preparat Hewan,#NAME?,,1,Buah,1,419580,
Neraca Tiga Lengan,#NAME?,MB2610,1,unit,1,1282050,
Metil Merah PA @gram,#NAME?,,1,Gram,1,80142,
Metil Merah PA @gram,#NAME?,,1,Gram,1,80142,
Metil Orange PA @gram,#NAME?,,1,Gram,1,34188,
Sikat pembersih buret,#NAME?,,1,Pcs,1,11100,
Kondensor Destilasi @500 ml,#NAME?,,1,500 ml,1,1110000,
Besi (II) Chloride / Iron (II) Chloride Tetrahydrate / FeCl2.4H2O Eceran,PADATAN PRO ANALIS,1.038.610.001,188,Gram,4574,9000,
Asam Sinamat PA @5gram,#NAME?,Merck 8.00235.0005,1,Botol,1,1157730,
NaHSO4 PA Sodium Bisulfate @gram,#NAME?,,50,Gram,2780,4200,
Metanol PA @100ml,#NAME?,,1,100ml,1,33966,
Etil Asetat PA @100ml,#NAME?,,1,100ml,1,156510,
n-heksana PA @50ml,#NAME?,,1,50ml,1,53835,
n-heksana PA @50ml,#NAME?,,1,50ml,1,53835,
Barium chloride / BaCl2 PA,PADATAN PRO ANALIS,,30,Gram,400,2000,
NaI PA @gram,#NAME?,,1,Gram,1,24420,
Arduino Nano,#NAME?,ATMEGA328P,1,unit,1,139860,
Arduino Mega,#NAME?,2560,1,unit,1,327450,
Project Board,#NAME?,MB 102,1,Buah,1,33300,
Kabel Jumper,#NAME?,Male To Female 20cm,1,Buah,1,22200,
Kabel Jumper Female To Female 20cm,#NAME?,,1,Buah,1,22200,
Kabel Jumper  Male To Male 20cm,#NAME?,,1,Buah,1,22200,
Batang Pengaduk / Spatula Kaca 20 cm,GLASSWARE,L.7,28,Pcs,3593,5000,
Jarum Ose Kaca Bulat - Besar,#NAME?,LU.OSE-B-KB,4,Pcs,4000,9000,
Palu Geologi Estwing E322P,#NAME?,,1,Buah,1,1452990,
Anemometer Benetech,#NAME?,,1,unit,1,186480,
Kompas Geologi Compro,#NAME?,,1,unit,1,432900,
Saung Tangan Latex safe gloves,#NAME?,,1,Box,1,54390,
Masker medis Onemed,#NAME?,,1,Box,1,37185,
Tabung Durham,#NAME?,,1,Buah,1,2220,
"Kisi Difraksi 100,300,600 lines/mm",#NAME?,,1,Buah,1,288600,
Kursi Roda + Commode Chair OM,,,1,unit,1300000,1587000,
LG BIG TWO DOOR,ALAT,GNC422SGCL,1,unit,7499000,8624000,
LG ONE DOOR,ALAT,GNINV201SL,1,unit,2939000,3380000,
Sodium Tungstate Dihydrate,CAIRAN PRO ANALIS,A-3297,1,pack,1796535,2066500,
"Activated Carbon, Darco(R) G-60, -100 M&",PADATAN PRO ANALIS,242276-1KG,1,Pack,2333664,3394000,
Cabel Ties SHKAKU,ALAT,,2,Pack,9500,35000,
Sarung Tangan Motor Half Finger,ALAT,,3,Pasang,5000,9000,
"Nacl 0,45 % 100 ML",,,6,Botol,7000,15000,
Masker 1pack,,,4,Pack,1,5000,
"Methylen Blue 0,25 % @1Liter",CAIRAN PRO ANALIS,,1,Liter,1,285000,
SULPHURIC ACID 1 N SMARTLAB,,,1,Botol,1,845000,
Calcium Carbonate Precipitated MERCK 250gram,PADATAN PRO ANALIS,1.020.660.250,2,Botol,1058940,1483000,
Crystal Violet (C.I. 42555) Indicator Ac @25gram,PADATAN PRO ANALIS,1.014.080.025,2,Botol,975690,1685000,
Potassium Hydroxide Pellets MERCK 1 kg,PADATAN PRO ANALIS,1.050.331.000,3,Botol,536130,730000,
Potassium Chloride MERCK 1 kg,PADATAN PRO ANALIS,1.049.361.000,3,Botol,541680,720500,
Manganese (II) Sulfate Monohydrate PA @250,PADATAN PRO ANALIS,1.059.410.250,1,Botol,749916,1250000,
Sodium Sulfate Anhydrous MERCK 1 kg,PADATAN PRO ANALIS,1.066.491.000,2,Botol,517260,724000,
Potassium Sodium Tartrate Tetrah PA @500gram,PADATAN PRO ANALIS,1.080.870.500,1,Botol,354200,550000,
Sodium Hydroxide Pellets MERCK @1 KG,PADATAN PRO ANALIS,1.064.981.000,7,Botol,606393,874000,
Stearic Acid / Asam Stearat Teknis 100 gram,,,80,100 gr,4500,13000,
Ammonium Chloride Emsure PA @1kg,PADATAN PRO ANALIS,1.011.451.000,1,Botol,842490,1404500,
Di-Sodium Hydrogen PHOSP. ANHYD. PA @500gram,PADATAN PRO ANALIS,1.065.860.500,1,Botol,869130,1449000,
Sodium Nitrate Emsure PA @1kg,PADATAN PRO ANALIS,1.065.371.000,1,Botol,1101564,1836000,
ALLOXAN MONOHYDRATE 1 gram,,,1,Pack,235000,286000,
Manikin/Alat Peraga Intubasi Airway Airway GL 8407,ALAT,,1,unit,5577300,8366000,
Hypafix 5x1 Ecer,ALAT,,9,Roll,1,25000,
Ammonium sulfate PA Emsure @100gram,PADATAN PRO ANALIS,1.012.170.100,1,Botol,490176,817000,
Calcium chloride dihydrate cryst MERCK 1 kg,PADATAN PRO ANALIS,1.023.821.000,2,Botol,969030,1357000,
PROPYLEN GLIKOL 100 ML,,,21,Botol,6200,19000,
Laptop HP 14s-dq5002TU | i7-1260P 512GB SSD 16GB Iris Xe Win11+OHS - NON SGUARD,ALAT,,1,unit,12664000,16000000,
FeSO4 Merck @gram,PADATAN PRO ANALIS,,100,Gram,3800,5000,
Ponco Jas Hujan,LAINNYA,,1,Pcs,120000,164000,
Mojave BK S,LAINNYA,,1,Pcs,247500,418000,
Mojabe BK M,LAINNYA,,1,Pcs,247500,418000,
Mojabve BK L,LAINNYA,,1,Pcs,247500,418000,
Mojave BK XL,LAINNYA,,1,Pcs,247500,418000,
Mojave BK XXXL,LAINNYA,,1,Pcs,265500,418000,
Cocopeat,LAINNYA,,1,Pcs,35000,47500,
Pakis Cacah,LAINNYA,,1,Pcs,10000,13500,
Daun Andam,LAINNYA,,1,Pcs,10000,13500,
Sekam,LAINNYA,,1,Pcs,7500,10500,
Cooking Set DS 200 + Kompor Kover Kotak + Gas Kompor,ALAT,,1,set,213000,245000,
Lampu Led Senter Batrai 6699,ALAT,,1,Pcs,35000,65500,
"Dinitrosalicylic Acid / DNS / 3,5-Dinitrosalicylic Acid PA 25gram",PADATAN PRO ANALIS,GRM1582,1,Botol,740000,1110000,
Safranine HI-CERT @10gram,PADATAN PRO ANALIS,GRM129,2,Botol,340000,510000,
SODIUM / NATRIUM IODIDA PA MERCK,PADATAN PRO ANALIS,106523,10,Gram,18920,35100,
Oleum Iecoris Aseli @500 ml,CAIRAN TEKNIS,,1,Botol,176100,264500,
Bosch GBG 35-15 Bench Grinder / Gerinda Duduk 6inch,ALAT,,1,unit,2173300,2700000,
Minyak Ikan 100 ML,,,498,ml,40000,60000,
